Sender,Ngram,Count
Bad Boy,('≡ƒæì', 'alright', 'geezer'),1
Bad Boy,('alright', 'geezer', '?'),1
Bad Boy,('geezer', '?', 'I'),1
Bad Boy,('?', 'I', 'want'),1
Bad Boy,('I', 'want', 'to'),1
Bad Boy,('want', 'to', 'trade'),1
Bad Boy,('to', 'trade', '.'),1
Bad Boy,('trade', '.', 'The'),1
Bad Boy,('.', 'The', 'boys'),1
Bad Boy,('The', 'boys', 'let'),1
Bad Boy,('boys', 'let', 'me'),1
Bad Boy,('let', 'me', 'know'),1
Bad Boy,('me', 'know', 'you'),1
Bad Boy,('know', 'you', 'deal'),1
Bad Boy,('you', 'deal', 'in'),1
Bad Boy,('deal', 'in', 'cheap'),1
Bad Boy,('in', 'cheap', 'gear'),1
Bad Boy,('cheap', 'gear', 'and'),1
Bad Boy,('gear', 'and', 'occasionally'),1
Bad Boy,('and', 'occasionally', 'I'),1
Bad Boy,('occasionally', 'I', 'get'),1
Bad Boy,('I', 'get', 'some'),1
Bad Boy,('get', 'some', 'to'),1
Bad Boy,('some', 'to', 'sell'),1
Bad Boy,('to', 'sell', 'and'),1
Bad Boy,('sell', 'and', 'every'),1
Bad Boy,('and', 'every', 'now'),1
Bad Boy,('every', 'now', 'and'),1
Bad Boy,('now', 'and', 'then'),1
Bad Boy,('and', 'then', 'I'),1
Bad Boy,('then', 'I', 'need'),1
Bad Boy,('I', 'need', 'to'),2
Bad Boy,('need', 'to', 'buy'),1
Bad Boy,('to', 'buy', '...'),1
Bad Boy,('buy', '...', 'Yer'),1
Bad Boy,('...', 'Yer', 'I'),1
Bad Boy,('Yer', 'I', 'know'),1
Bad Boy,('I', 'know', ','),1
Bad Boy,('know', ',', 'listen'),1
Bad Boy,(',', 'listen', 'I'),1
Bad Boy,('listen', 'I', "'m"),1
Bad Boy,('I', "'m", 'sorry'),1
Bad Boy,("'m", 'sorry', 'man'),1
Bad Boy,('sorry', 'man', 'but'),1
Bad Boy,('man', 'but', 'learnt'),1
Bad Boy,('but', 'learnt', 'my'),1
Bad Boy,('learnt', 'my', 'lesson'),1
Bad Boy,('my', 'lesson', '.'),1
Bad Boy,('lesson', '.', 'It'),1
Bad Boy,('.', 'It', 'wo'),1
Bad Boy,('It', 'wo', "n't"),1
Bad Boy,('wo', "n't", 'happen'),1
Bad Boy,("n't", 'happen', 'again'),1
Bad Boy,('happen', 'again', 'I'),1
Bad Boy,('again', 'I', 'promise'),1
Bad Boy,('I', 'promise', '.'),1
Bad Boy,('promise', '.', 'This'),1
Bad Boy,('.', 'This', 'time'),1
Bad Boy,('This', 'time', 'it'),1
Bad Boy,('time', 'it', 'will'),1
Bad Boy,('it', 'will', 'be'),1
Bad Boy,('will', 'be', 'different'),1
Bad Boy,('be', 'different', '..'),1
Bad Boy,('different', '..', 'Seriously'),1
Bad Boy,('..', 'Seriously', 'you'),1
Bad Boy,('Seriously', 'you', 'can'),1
Bad Boy,('you', 'can', 'trust'),1
Bad Boy,('can', 'trust', 'me'),1
Bad Boy,('trust', 'me', '.'),1
Bad Boy,('me', '.', 'I'),2
Bad Boy,('.', 'I', 'wo'),1
Bad Boy,('I', 'wo', "n't"),1
Bad Boy,('wo', "n't", 'make'),1
Bad Boy,("n't", 'make', 'the'),1
Bad Boy,('make', 'the', 'same'),1
Bad Boy,('the', 'same', 'mistake'),1
Bad Boy,('same', 'mistake', 'twice'),1
Bad Boy,('mistake', 'twice', '.'),1
Bad Boy,('twice', '.', 'I'),1
Bad Boy,('.', 'I', 'will'),2
Bad Boy,('I', 'will', 'pay'),1
Bad Boy,('will', 'pay', 'on'),1
Bad Boy,('pay', 'on', 'time'),1
Bad Boy,('on', 'time', 'and'),1
Bad Boy,('time', 'and', 'keep'),1
Bad Boy,('and', 'keep', 'your'),1
Bad Boy,('keep', 'your', 'secrets'),1
Bad Boy,('your', 'secrets', '.'),1
Bad Boy,('secrets', '.', 'In'),1
Bad Boy,('.', 'In', 'my'),1
Bad Boy,('In', 'my', 'honor'),1
Bad Boy,('my', 'honor', 'Ok'),1
Bad Boy,('honor', 'Ok', 'I'),1
Bad Boy,('Ok', 'I', 'understand'),1
Bad Boy,('I', 'understand', ','),1
Bad Boy,('understand', ',', 'thanks'),1
Bad Boy,(',', 'thanks', '.'),1
Bad Boy,('thanks', '.', 'Did'),1
Bad Boy,('.', 'Did', 'he'),1
Bad Boy,('Did', 'he', 'say'),1
Bad Boy,('he', 'say', 'yes'),1
Bad Boy,('say', 'yes', '?'),1
Bad Boy,('yes', '?', 'nan'),1
